"","Cat_ID","Lineage","Treatment","Plant_ID","Cohort","Microbe_Mix","log_community_size","Unclassified_Bacteria","Gemmataceae","Comamonadaceae","Isosphaeraceae","Beijerinckiaceae","Ktedonobacteraceae","Rikenellaceae","Puniceicoccaceae","Peptostreptococcaceae","Mycobacteriaceae","Streptomycetaceae","Bacillaceae","Polyangiaceae","Endozoicomonadaceae","Cyanobiaceae","Enterobacteriaceae","Micrococcaceae","UBA10353_marine_group","Microbacteriaceae","Fusobacteriaceae","Dermacoccaceae","Oxalobacteraceae","Staphylococcaceae","Streptococcaceae","Diplorickettsiaceae","Paenibacillaceae","Solirubrobacteraceae","Rhodobacteraceae","Listeriaceae","Nostocaceae","Pseudoalteromonadaceae","Sphingomonadaceae","Erysipelotrichaceae","Devosiaceae","Alicyclobacillaceae","Unknown_Family","Xanthomonadaceae","Enterococcaceae","Enterobacterales.__","67.14","Pirellulaceae","Actinomarinaceae","MB.A2.108","Lactobacillaceae","Methylomonadaceae","Brevibacillaceae","Oscillospiraceae","AKIW781","Rubinisphaeraceae","Clostridiaceae","Candidatus_Jorgensenbacteria","Weeksellaceae","Micrococcales.__","Cyclobacteriaceae","Burkholderiaceae","JG30.KF.CM45","Rhizobiaceae","Nocardioidaceae","Chitinophagales.__","Pseudomonadaceae","Obscuribacteraceae","Acetobacteraceae","Moraxellaceae","Verrucomicrobiaceae","Caulobacteraceae","Hafniaceae","Yersiniaceae","Thalassospiraceae","Micromonosporaceae","Oligoflexaceae","Erwiniaceae","Chthoniobacteraceae","Nocardiaceae","Hyphomonadaceae","Xanthobacteraceae","Thermomonosporaceae","Saccharospirillaceae","Planococcaceae","Desulfobacteraceae","Corynebacteriaceae","Spirochaetaceae","Aerococcaceae","WD2101_soil_group","KD4.96","Rubrobacteriaceae","WCHB1.41","Schlesneriaceae","Gemmatimonadaceae","Hyphomicrobiaceae","DS.100","Brevibacteriaceae","Terasakiellaceae","Bdellovibrionaceae","Methylophilaceae","Blastocatellaceae","Exiguobacteraceae","Saprospiraceae","Oscillospirales.__","Propionibacteriaceae","Pseudonocardiaceae","Frankiaceae","uncultured","Rubritaleaceae","Vibrionaceae","Spongiibacteraceae","Parachlamydiaceae","Blfdi19","Chitinophagaceae"
"1","190","I","D4","1","5th_instar","Mix1",3.715571198,1325,0,0,0,403,0,0,0,0,0,0,0,0,0,0,28492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3931,0,0,0,0,0,0,0,6096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","191","I","D5","1","3rd_instar","Mix1",3.560193138,16072,0,179,0,903,0,0,0,0,0,1644,0,0,0,0,608,0,0,0,1437,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","194","I","D1","1","3rd_instar","Mix1",3.881548528,2296,0,0,0,0,0,0,0,0,0,0,10911,0,0,87,48298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,10,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","202","I","D2","2","3rd_instar","Mix1",3.653173341,10964,0,80,0,0,0,0,0,0,0,10,780,0,0,0,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","206","I","D4","4","5th_instar","Mix2",3.971476111,5482,0,881,0,426,0,0,0,0,0,0,0,0,10818,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","207","I","C","3","3rd_instar","Mix2",3.319228311,6937,0,147,0,4624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","208","I","D2","4","3rd_instar","Mix2",4.355465812,1396,0,45,0,161,369,0,0,0,0,314,13656,0,73,0,22352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,47,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","209","I","D3","3","3rd_instar","Mix2",4.651375321,4047,0,2697,0,3544,0,0,0,0,0,0,329,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1525,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1032,1456,0,0,0,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","213","I","D2","3","5th_instar","Mix2",4.875789125,330,0,0,0,579,214,0,0,0,0,105,0,0,199,0,13093,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","214","I","D5","3","5th_instar","Mix2",4.616964062,1073,17,0,210,212,624,0,0,0,0,714,12,0,0,0,1466,51,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,27,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,49,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,50,0,0
